Umur,Jenis Kelamin,Wilayah,Tanggapan,cleaned_text,topic_id,topic_category,kategori_akhir
8 sampai 11 tahun,Perempuan,Sibolga Utara,Takut kerena banjir,takut kerena banjir,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Takut,takut,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Cemas,cemas,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Lari,lari,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Menyelamatkan adik, ibu, ayah, dan diri sendiri",menyelamatkan adik ibu ayah dan diri sendiri,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,Takut,takut,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,aku mau lari ke posko,aku mau lari ke posko,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Cemas,cemas,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Menyelamatkan adik, mama, dan bapak",menyelamatkan adik mama dan bapak,3,Deskripsi Umum Kondisi Banjir,Trauma Suara & Penyelamatan Diri
8 sampai 11 tahun,Perempuan,Sibolga Utara,"Takut, cemas",takut cemas,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Takut longsor,takut longsor,2,Dampak Psikososial & Trauma,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Seram,seram,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Takut,takut,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Cemas,cemas,4,Kesehatan & Kecemasan Harian,
8 sampai 11 tahun,Perempuan,Sibolga Utara,Lari,lari,4,Kesehatan & Kecemasan Harian,
